('2019-09-13', '15:26:29', '126', '28', '28')
('2019-09-13', '15:27:29', '118', '29', '37')
('2019-09-13', '15:28:31', '116', '28', '40')
('2019-09-13', '15:29:32', '115', '28', '41')
('2019-09-13', '15:32:53', '116', '32', '46')
('2019-09-13', '15:33:54', '110', '32', '52')
('2019-09-13', '15:34:55', '111', '33', '52')
('2019-09-13', '15:35:59', '111', '33', '52')
('2019-09-13', '15:37:00', '111', '32', '49')
('2019-09-13', '15:38:03', '113', '34', '43')
('2019-09-13', '15:39:06', '113', '31', '43')
('2019-09-13', '15:40:07', '113', '32', '43')
('2019-09-13', '15:41:16', '113', '28', '43')
('2019-09-13', '15:42:17', '113', '28', '42')
('2019-09-13', '15:43:17', '114', '28', '42')
('2019-09-13', '15:44:20', '114', '28', '42')
('2019-09-13', '15:45:21', '116', '29', '39')
('2019-09-13', '15:46:22', '114', '27', '38')
('2019-09-13', '15:47:23', '110', '27', '41')
('2019-09-13', '15:48:25', '105', '28', '45')
('2019-09-13', '15:49:27', '106', '26', '45')
('2019-09-13', '15:50:30', '106', '25', '45')
('2019-09-13', '15:51:33', '107', '25', '43')
('2019-09-13', '15:52:34', '108', '26', '38')
('2019-09-13', '15:53:36', '110', '29', '36')
('2019-09-13', '15:54:38', '109', '28', '38')
('2019-09-13', '15:55:40', '106', '30', '44')
('2019-09-13', '15:56:41', '101', '28', '47')
('2019-09-13', '15:57:43', '101', '27', '38')
('2019-09-13', '15:58:44', '103', '28', '37')
('2019-09-13', '15:59:46', '107', '33', '36')
('2019-09-13', '16:00:49', '108', '32', '36')
('2019-09-13', '16:01:49', '109', '31', '38')
('2019-09-13', '16:02:52', '103', '31', '40')
('2019-09-13', '16:03:54', '101', '31', '36')
('2019-09-13', '16:04:55', '101', '30', '36')
('2019-09-13', '16:05:57', '102', '30', '36')
('2019-09-13', '16:06:58', '103', '30', '36')
('2019-09-13', '16:07:59', '105', '30', '36')
('2019-09-13', '16:09:01', '105', '30', '36')
('2019-09-13', '16:10:02', '103', '30', '40')
('2019-09-13', '16:11:04', '99', '31', '44')
('2019-09-13', '16:12:07', '99', '32', '44')
('2019-09-13', '16:13:11', '100', '33', '44')
('2019-09-13', '16:14:12', '101', '33', '44')
('2019-09-13', '16:15:13', '101', '32', '45')
('2019-09-13', '16:16:16', '100', '32', '42')
('2019-09-13', '16:17:19', '101', '36', '41')
('2019-09-13', '16:18:20', '101', '36', '36')
('2019-09-13', '16:19:21', '102', '36', '36')
('2019-09-13', '16:20:21', '103', '38', '36')
('2019-09-13', '16:21:25', '104', '38', '36')
('2019-09-13', '16:22:26', '107', '40', '36')
('2019-09-13', '16:23:27', '107', '36', '36')
('2019-09-13', '16:24:28', '107', '38', '40')
('2019-09-13', '16:25:30', '104', '36', '38')
('2019-09-13', '16:26:31', '102', '36', '33')
('2019-09-13', '16:27:33', '105', '39', '33')
('2019-09-13', '16:28:37', '107', '39', '33')
('2019-09-13', '16:29:38', '108', '36', '33')
('2019-09-13', '16:30:41', '109', '35', '33')
('2019-09-13', '16:31:46', '110', '34', '32')
('2019-09-13', '16:32:46', '111', '35', '25')
('2019-09-13', '16:33:48', '110', '36', '24')
('2019-09-13', '16:34:50', '105', '36', '30')
('2019-09-13', '16:35:52', '100', '35', '35')
('2019-09-13', '16:36:53', '103', '39', '35')
('2019-09-13', '16:37:55', '103', '37', '35')
('2019-09-13', '16:38:57', '105', '39', '35')
('2019-09-13', '16:39:57', '103', '40', '38')
('2019-09-13', '16:41:00', '100', '40', '37')
('2019-09-13', '16:42:01', '101', '41', '37')
('2019-09-13', '16:43:03', '102', '40', '37')
('2019-09-13', '16:44:04', '103', '41', '37')
('2019-09-13', '16:45:06', '106', '44', '38')
('2019-09-13', '16:46:07', '100', '44', '43')
('2019-09-13', '16:47:10', '98', '41', '45')
('2019-09-13', '16:48:11', '100', '43', '44')
('2019-09-13', '16:49:12', '99', '42', '45')
('2019-09-13', '16:50:15', '101', '42', '45')
('2019-09-13', '16:51:16', '103', '44', '45')
('2019-09-13', '16:52:18', '100', '44', '50')
('2019-09-13', '16:53:19', '94', '43', '58')
('2019-09-13', '16:54:21', '94', '41', '54')
('2019-09-13', '16:55:22', '94', '42', '49')
('2019-09-13', '16:56:23', '94', '42', '48')
('2019-09-13', '16:57:24', '97', '42', '48')
('2019-09-13', '16:58:25', '97', '41', '48')
('2019-09-13', '16:59:27', '97', '40', '48')
('2019-09-13', '17:00:27', '98', '40', '48')
('2019-09-13', '17:01:29', '99', '39', '48')
('2019-09-13', '17:02:29', '100', '39', '49')
('2019-09-13', '17:03:31', '101', '42', '49')
('2019-09-13', '17:04:32', '101', '42', '44')
('2019-09-13', '17:05:34', '103', '44', '37')
('2019-09-13', '17:06:35', '104', '44', '40')
('2019-09-13', '17:07:36', '101', '43', '46')
('2019-09-13', '17:08:37', '102', '44', '47')
('2019-09-13', '17:09:39', '102', '42', '43')
('2019-09-13', '17:10:41', '102', '42', '37')
('2019-09-13', '17:11:44', '103', '42', '37')
('2019-09-13', '17:12:46', '106', '45', '37')
('2019-09-13', '17:13:48', '107', '43', '37')
